Test,Creativity,Algorithmic Thinking,Cooperativity,Critical Thinking,Problem Solving,Gender
pre-test,4.4,4,3.75,4.6,4.5,Boy
pre-test,4.6,4.5,3.25,4.6,4.25,Boy
pre-test,5,3.67,5,3.4,4,Boy
pre-test,4,4,4.25,4.2,4.5,Boy
pre-test,2.8,3.83,5,4.2,5,Boy
pre-test,5,4.67,3.5,3.4,4.25,Boy
pre-test,4.4,4.5,3.75,3.6,4.5,Boy
pre-test,4.2,3.17,4,4.6,4.75,Girl
pre-test,3.8,3.83,5,3.8,4.25,Boy
pre-test,3.8,4.5,4,3.6,4.75,Boy
pre-test,3.8,4.33,5,3.4,4,Boy
pre-test,4,4.33,4,4.4,3.75,Boy
pre-test,3.8,4,4.5,4.6,3.5,Boy
pre-test,4.4,4.33,2.75,4.4,4.5,Girl
pre-test,4,4.17,4.25,4.2,3.75,Girl
pre-test,4.2,3,3.5,5,4.5,Girl
pre-test,4.2,4.33,2.5,4.4,4.75,Girl
pre-test,4.2,3.17,4,3.8,5,Boy
pre-test,4.2,3.33,4.5,3.6,4.5,Boy
pre-test,3.4,3.67,4.5,5,3.5,Girl
pre-test,4,4.5,3.75,3,4.75,Boy
pre-test,4.4,3.83,3.75,4.2,3.75,Boy
pre-test,4,4.33,3.5,3.6,4.5,Girl
pre-test,4.2,3.67,3.5,4.8,3.75,Girl
pre-test,3.4,4.33,4.5,3.4,4.25,Boy
pre-test,3.6,3.67,4.25,3.6,4.75,Boy
pre-test,3.6,3.83,3.75,4.4,4.25,Girl
pre-test,3.6,3.83,3,4.6,4.75,Girl
pre-test,4.6,4.17,3,4.2,3.75,Boy
pre-test,4.2,3.5,2,5,5,Girl
pre-test,3,3.67,3.5,5,4.5,Boy
pre-test,3.8,4,3.75,3.8,4.25,Boy
pre-test,4,3.83,4,4.2,3.5,Boy
pre-test,3.8,4,3,4.2,4.5,Boy
pre-test,3.8,4,3.5,3.4,4.75,Girl
pre-test,4.6,3.5,3.5,3.6,4.25,Boy
pre-test,3.4,3.67,4.25,3.8,4.25,Girl
pre-test,3.8,3.5,4,3.8,4.25,Boy
pre-test,3,3.83,4.25,4,4.25,Girl
pre-test,4.2,4.17,3.75,3.2,4,Boy
pre-test,3.6,3.67,3.75,3.8,4.5,Boy
pre-test,3.8,4.17,3.75,3.6,4,Boy
pre-test,4,3.67,3.5,3.6,4.5,Boy
pre-test,3,4.67,3.75,3.6,4.25,Girl
pre-test,3.6,3.5,3,4.4,4.75,Boy
pre-test,4,4,3.75,3.2,4.25,Boy
pre-test,3.6,3.83,3.75,4,4,Boy
pre-test,3.4,3.83,4,3.4,4.5,Boy
pre-test,3.8,2.83,4,4,4.5,Boy
pre-test,2.8,4.67,4,4.6,3,Girl
pre-test,3.8,3.5,3.25,4.2,4.25,Boy
pre-test,3.8,3.83,3.75,3.6,4,Girl
pre-test,3.6,3.67,3.5,4.2,4,Girl
pre-test,3.2,4,4,4,3.75,Boy
pre-test,3,3.5,4,4.2,4.25,Girl
pre-test,3.2,3.33,4.5,3.6,4.25,Girl
pre-test,2.2,3.33,4,4.6,4.75,Boy
pre-test,3.8,3.67,4.25,3.4,3.75,Boy
pre-test,4.2,3.33,3.5,3.8,4,Boy
pre-test,4.6,3.33,3.25,3.4,4.25,Boy
pre-test,4.4,3.83,2.75,3.8,4,Girl
pre-test,4,3.67,3.5,3.6,4,Girl
pre-test,4.2,3.33,3.5,3.2,4.5,Girl
pre-test,3.6,3.83,4.5,3.8,3,Girl
pre-test,4,4.17,2.75,2.8,5,Girl
pre-test,3.6,3.17,4,4.2,3.75,Boy
pre-test,4.2,3.67,3.25,3.6,4,Girl
pre-test,4.4,3.67,3.5,3.4,3.75,Girl
pre-test,3,4,2.5,4.2,5,Boy
pre-test,3.6,3.83,4,4,3.25,Boy
pre-test,2.8,3.5,4.5,3.8,4,Boy
pre-test,3.6,4,4,4,3,Boy
pre-test,3.4,3.67,4,3,4.5,Girl
pre-test,3.4,3.5,3.5,3.4,4.75,Girl
pre-test,3,4,3.5,4,4,Boy
pre-test,3,3.17,4,3.8,4.5,Boy
pre-test,2.8,3.83,4,3.8,4,Girl
pre-test,4,3.33,3.25,3.6,4.25,Girl
pre-test,3.6,4.33,3,3.4,4,Girl
pre-test,3.8,4.17,3.5,3.6,3.25,Boy
pre-test,4.4,4.17,3,3,3.75,Girl
pre-test,3.4,4.17,2.75,4,4,Boy
pre-test,3.2,3.67,3.75,4.4,3.25,Girl
pre-test,4.2,3.67,3,3.4,4,Boy
pre-test,3.8,3.67,4,3.8,3,Boy
pre-test,3.2,3.5,4,3.8,3.75,Girl
pre-test,4.6,3.33,3,2.8,4.5,Girl
pre-test,2.4,3.83,3.5,4,4.5,Boy
pre-test,3.6,3.17,3,4.4,4,Girl
pre-test,3.8,3.33,3.5,4.2,3.25,Boy
pre-test,3.4,3.67,4,3,4,Boy
pre-test,3.6,4.17,4,3,3.25,Boy
pre-test,3,4,3.25,4,3.75,Boy
pre-test,4.2,3.67,2.75,3.6,3.75,Boy
pre-test,2.8,3.83,3.75,3.8,3.75,Girl
pre-test,3.8,3.83,3,3,4.25,Girl
